id,x_m,y_m,z_m,horizontal_deg,vertical_deg
1,5.377098,-1.065153,0.551369,-25.328024,-10.193393
2,6.198768,0.176950,0.639457,-8.475774,-9.739442
3,6.600885,1.808351,0.735847,5.800794,-9.687887
4,6.367930,3.618613,0.808606,20.774496,-11.562105
5,5.469217,5.365861,0.822900,35.350808,-8.070733
6,6.160868,-1.234540,1.348293,-22.563088,-0.675578
7,7.260841,0.264612,1.656844,-9.645577,0.002257
8,7.474223,2.130404,1.923160,5.012800,-1.044935
9,5.497787,2.831002,1.813703,20.415516,-0.055135
10,4.897941,4.559167,1.979152,35.130581,0.813246
11,6.992576,-1.482563,2.686105,-25.956327,11.991255
12,8.027715,0.229829,3.268915,-11.618675,11.544130
13,5.821543,1.266009,2.779613,4.442897,9.859810
14,5.858104,3.075370,3.252355,19.573522,13.274317
15,5.311853,5.185440,3.747310,34.647204,11.871612
