id,x_m,y_m,z_m,horizontal_deg,vertical_deg
1,5.377098,-1.065153,0.551369,-26.791878,-10.512803
2,6.198768,0.176950,0.639457,-8.590904,-10.321204
3,6.600885,1.808351,0.735847,6.001447,-12.601103
4,6.367930,3.618613,0.808606,19.198231,-9.305772
5,5.469217,5.365861,0.822900,38.060805,-11.213698
6,6.160868,-1.234540,1.348293,-19.695185,1.872063
7,7.260841,0.264612,1.656844,-12.571163,-1.682743
8,7.474223,2.130404,1.923160,4.097504,1.199323
9,5.497787,2.831002,1.813703,19.366955,2.396986
10,4.897941,4.559167,1.979152,32.055098,-5.204258
11,6.992576,-1.482563,2.686105,-24.960910,13.864013
12,8.027715,0.229829,3.268915,-11.052427,13.704760
13,5.821543,1.266009,2.779613,5.427082,10.702310
14,5.858104,3.075370,3.252355,18.207136,8.837763
15,5.311853,5.185440,3.747310,36.147215,11.806760
