id,x_m,y_m,z_m,horizontal_deg,vertical_deg
1,5.377098,-1.065153,0.551369,-25.107047,-9.296403
2,6.198768,0.176950,0.639457,-10.173328,-9.993740
3,6.600885,1.808351,0.735847,4.503344,-9.780849
4,6.367930,3.618613,0.808606,18.791914,-10.410577
5,5.469217,5.365861,0.822900,34.006679,-10.822148
6,6.160868,-1.234540,1.348293,-25.043773,-0.693342
7,7.260841,0.264612,1.656844,-9.605258,-0.533465
8,7.474223,2.130404,1.923160,5.897844,0.369708
9,5.497787,2.831002,1.813703,20.236883,0.768325
10,4.897941,4.559167,1.979152,34.628966,0.476144
11,6.992576,-1.482563,2.686105,-24.435568,12.348645
12,8.027715,0.229829,3.268915,-10.109145,12.235348
13,5.821543,1.266009,2.779613,5.850975,11.843281
14,5.858104,3.075370,3.252355,20.496887,11.711464
15,5.311853,5.185440,3.747310,34.946111,12.114979
