id,x_m,y_m,z_m,horizontal_deg,vertical_deg
1,5.377098,-1.065153,0.551369,-24.342986,-10.401862
2,6.198768,0.176950,0.639457,-9.746399,-10.588540
3,6.600885,1.808351,0.735847,4.737755,-9.593277
4,6.367930,3.618613,0.808606,20.091354,-9.802974
5,5.469217,5.365861,0.822900,35.003669,-10.978503
6,6.160868,-1.234540,1.348293,-24.938933,-0.168643
7,7.260841,0.264612,1.656844,-10.012864,-0.333969
8,7.474223,2.130404,1.923160,5.114760,0.161762
9,5.497787,2.831002,1.813703,19.803724,-0.068974
10,4.897941,4.559167,1.979152,34.648588,0.353721
11,6.992576,-1.482563,2.686105,-25.361053,12.163655
12,8.027715,0.229829,3.268915,-10.084223,11.992153
13,5.821543,1.266009,2.779613,4.934647,12.400609
14,5.858104,3.075370,3.252355,20.134893,12.111388
15,5.311853,5.185440,3.747310,34.773996,11.926797
